,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
177,55645.9,34178.934,40490.766,31586.385,22924.75,15039.642,12241.013,11781.503,9651.964,21281.793,24851.447,6600.0
178,76394.83,43686.19,56198.67,46626.945,36161.266,19503.662,19614.324,16294.174,11487.66,28817.4,34536.78,17000.0
179,89463.71,48971.562,67185.86,56726.086,46557.082,22538.438,25936.28,19701.916,12308.372,34348.246,42223.547,16300.0
180,94203.2,49646.87,72450.34,61087.41,52445.324,23549.205,29897.016,21521.475,11967.339,36917.21,46871.934,32100.0
181,91934.03,46051.324,71988.84,60226.977,53696.84,22374.303,30951.92,21700.473,10550.665,36273.508,48316.49,22500.000000000004
182,83428.39,38886.49,65664.99,54346.61,50617.184,19273.012,29060.414,20320.383,8359.336,32738.428,46639.957,14000.0
183,68074.29,29359.55,52862.465,43186.914,43419.51,14892.638,24452.656,17469.213,5848.6836,27073.121,41862.82,9100.0
184,45642.023,19331.367,34019.953,27586.465,32656.467,10150.949,17684.557,13418.758,3496.269,20341.088,34141.74,5000.0
185,20192.477,10852.334,14096.932,11677.798,20323.291,5969.3926,9941.634,8870.681,1636.9412,13702.296,24461.799,4500.0
186,675.75867,5167.883,1804.7771,1211.3186,9856.422,2942.734,3032.589,4802.8633,377.4698,8130.862,15058.408,400.0
187,-7410.966,2176.2227,-1009.55756,-2594.4866,3588.8455,1173.1311,-1496.3928,1915.334,-349.1773,4154.4795,8276.048,0.0
188,-7940.837,912.25336,-1185.4987,-3253.833,746.17566,393.59036,-3387.178,314.3821,-662.3127,1772.2234,4717.77,0.0
189,-7043.538,401.8155,-1841.646,-3330.0144,-718.1452,240.42712,-3462.9934,-273.13828,-645.4722,634.77106,3378.6138,0.0
190,-7731.641,157.64766,-2589.573,-3556.0017,-1913.7737,457.87726,-2643.6882,-170.048,-315.9807,406.93002,3196.4985,0.0
191,-10553.331,299.9233,-4112.213,-4126.868,-3096.5984,965.5876,-1512.798,377.28354,364.70416,1099.3484,3655.1084,0.0
192,1119.0052,668.74774,5076.963,2560.4497,-429.30106,-776.1451,638.9468,-684.61053,-201.18744,1755.5737,108.547676,0.0
193,-180.02383,-2101.646,3534.32,424.46234,718.29407,-1126.991,1064.6676,-1405.5563,-223.0922,610.29486,-940.6857,0.0
194,304.95053,-1644.3359,1560.5623,-714.74945,1670.4714,-1105.5293,1076.524,-2088.493,-21.108498,1084.2474,-584.9441,0.0
195,817.33685,-327.66827,140.71794,-1040.6809,2451.7852,-578.3988,1179.0945,-1566.1376,504.18167,1341.9856,314.7066,0.0
196,300.8594,758.6185,-435.96848,-1026.5765,3236.6863,293.2868,1123.0928,-652.8292,999.0201,872.00446,1400.0022,0.0
197,-734.2471,1996.862,487.05054,-1128.3975,3374.8691,1265.5072,719.4365,-1002.50116,1116.1886,344.83066,2218.2944,400.0
198,455.63046,5117.797,6168.9956,-289.3207,2575.3657,2804.945,882.63654,-1989.4241,1719.6631,1587.1108,2880.7202,2800.0000000000005
199,7593.3564,11790.215,21427.783,4840.607,2567.4866,6413.5913,3867.0176,1123.0872,5421.113,6407.9673,4817.589,5100.0
200,21782.123,21705.016,46260.22,16706.336,6679.16,13450.494,11263.927,12613.724,14016.506,14912.736,9904.448,11700.0
201,39530.656,32396.873,72976.36,32430.54,16028.179,23209.658,21637.412,29814.93,25176.342,25066.363,17967.967,21900.000000000004
202,55397.902,41072.316,94221.016,46211.96,27459.338,33006.74,31514.143,45775.41,34488.258,34071.38,26435.074,14799.999999999998
203,65787.13,46151.695,107918.07,54787.977,36864.664,40307.105,38307.996,56158.117,39647.812,39919.285,32822.91,12900.0
204,69854.266,47321.293,114075.195,57961.926,42354.418,43862.098,41195.145,60662.43,40545.234,41801.76,36121.59,24100.0
205,68021.4,44941.273,113086.34,56367.387,43935.85,43318.906,40184.258,60772.96,37446.832,39812.664,36281.81,18200.0
206,60462.254,39710.953,105008.77,50175.1,42112.645,38732.004,35336.668,57428.477,30341.965,34646.734,33496.03,13200.0
207,47038.29,32685.88,88343.53,39386.863,37177.797,30618.88,26923.457,49695.07,19874.16,27435.072,27949.021,15500.000000000002
208,29053.203,25272.363,61572.867,25437.309,29442.828,20412.531,16440.064,36233.977,9093.921,19577.752,20207.031,10600.0
209,11178.31,18866.84,29952.936,12306.185,20124.664,10572.086,7017.4473,19645.088,2483.6914,12455.69,11927.289,4700.0
210,-548.79645,14285.992,8152.9375,4018.862,11681.044,3512.6548,1393.0255,6619.3745,872.3127,7051.6904,5490.2637,2100.0
211,-4429.9556,11516.798,1934.5792,723.0397,6304.407,24.634743,-544.4652,398.5886,1069.9678,3667.9119,2118.249,700.0000000000001
212,-3938.236,10005.048,893.1766,-126.41865,4084.9644,-911.39075,-689.8411,-1649.5453,1203.4537,1949.6667,1096.5881,0.0
213,-2895.0369,9135.59,625.4571,-316.60974,3589.5127,-813.32355,-343.08606,-2193.2627,1183.0804,1255.217,1207.3014,0.0
214,-3162.3923,8539.798,1667.7195,-444.01733,3590.0422,-634.38824,-22.596268,-1975.9224,753.14795,1182.4557,1750.0876,0.0
215,-4761.4624,8183.239,2744.3398,-373.64386,3534.1472,-496.689,29.913961,-1290.4333,-214.8661,1935.5885,2370.3594,0.0
216,1123.9006,762.46606,4335.818,4268.5625,1653.5104,2172.1467,1151.0061,-224.31186,-139.1422,1956.8153,1005.2196,0.0
217,-177.23358,-2084.1182,3630.106,3864.786,2162.5134,283.68027,1632.9517,-1160.3938,390.12567,982.8925,1721.2615,0.0
218,309.97195,-1688.7559,2133.046,1472.738,2141.9492,41.532562,1289.4469,-766.1683,1055.7089,1211.858,2248.1716,0.0
219,824.02277,-422.00754,795.70294,1097.859,2171.4612,479.30685,888.3883,84.85612,1482.6072,1103.5778,2561.655,0.0
220,302.41968,627.7695,72.50958,2460.9045,1971.885,900.23425,408.53702,457.10147,1587.7804,510.71295,2696.7124,0.0
221,-750.74274,1840.7263,664.7736,3978.1619,1179.5424,1427.9025,48.648212,173.43376,1703.0887,209.13768,2779.1753,500.0
222,410.3124,4942.0024,5133.1626,7697.311,1260.698,4197.8066,766.79486,1294.7008,3654.4126,1746.3967,3976.8918,7700.000000000001
223,7523.8525,11598.378,17442.729,22062.096,6287.187,12197.9375,4031.489,7361.7915,10024.517,6514.974,8693.835,18600.0
224,21709.03,21501.787,38358.87,52106.848,19027.723,25469.273,10452.065,19467.625,20675.77,14503.589,18366.318,14500.0
225,39473.6,32182.033,62460.914,88048.0,36127.23,40022.098,18735.34,34071.07,31736.752,23983.79,30984.672,22800.0
226,55363.29,40834.78,82928.61,116713.43,51111.35,51632.312,26496.346,46261.875,39518.69,32548.23,42647.46,34500.0
227,65771.79,45871.957,96605.93,134087.03,60441.527,58360.19,31870.092,53501.91,42844.28,38349.523,50807.637,23900.0
228,69853.9,46976.7,103005.54,141411.77,64024.242,59740.297,34074.664,55797.367,41799.137,40526.957,54822.516,46400.0
229,68034.18,44508.227,102486.36,140424.48,62810.54,55644.727,32983.473,54042.805,36497.773,39040.293,54840.973,25200.0
230,60487.61,39166.19,95228.81,130705.81,57263.02,46193.79,28687.629,48592.06,27282.074,34436.344,50969.895,20700.0
231,47072.996,32012.275,80243.47,108750.88,47209.75,32618.895,21600.486,39153.625,15982.893,27701.639,43120.65,19600.0
232,29088.598,24470.092,56485.676,72517.31,33297.793,18136.79,13038.358,26567.123,6447.32,20113.832,31709.564,28200.0
233,11204.453,17960.818,28055.672,32383.6,19002.375,6941.153,5329.4614,14281.314,1711.8014,12990.334,19063.592,14100.0
234,-532.62396,13318.352,7005.8496,7724.618,9231.559,1205.9816,454.45203,5950.812,729.40674,7342.2476,9249.41,6500.0
235,-4414.244,10528.389,-105.59759,-166.67934,5197.596,-301.7275,-1482.8099,1905.3324,744.346,3585.465,4514.7993,1800.0
236,-3914.645,9022.28,-1261.3108,-2518.361,4019.7866,-69.04714,-1694.316,268.26086,689.05066,1508.6414,3328.3872,0.0
237,-2861.3438,8170.263,-1633.0132,-1825.0023,3387.2568,217.63702,-1222.5952,-318.14648,461.25592,568.09204,3414.364,0.0
238,-3120.6328,7597.1616,-979.5398,1384.8522,2671.8337,-226.31296,-620.56714,-447.96442,-11.542229,366.12122,3846.6306,0.0
239,-4718.267,7272.23,-196.77762,4328.316,1667.1085,-1282.8151,-151.73203,-439.1377,-68.64854,1029.4708,4399.3887,0.0
240,1314.8882,1104.6041,3387.7712,7008.503,2416.7024,38.92018,952.60364,-1342.3195,1254.9718,1927.6918,295.72485,0.0
241,84.05149,-1129.2998,2858.4412,8233.148,3892.2803,36.81919,1937.4335,-1140.1334,722.12933,971.6985,346.09317,0.0
242,391.94052,-491.7726,1777.4902,6726.223,3800.8357,-47.826183,1969.7605,-828.08234,840.31354,1258.4785,627.3447,0.0
243,603.7164,755.59406,708.99524,6579.979,3455.2283,-86.30458,1201.7152,-382.38583,819.496,1256.6552,699.2289,0.0
244,-179.68098,1636.059,-93.09992,7408.751,3090.6812,-12.638481,-172.26242,-429.98807,804.2783,1007.47815,704.72046,0.0
245,-1176.1466,2659.9197,-84.960846,9047.928,2707.5154,618.35724,-1649.8037,-969.32166,1296.1733,1202.379,881.9782,0.0
246,697.19104,5685.1094,2830.8708,15439.892,3212.243,2712.2346,-2353.1826,-623.2858,3094.5798,2923.1753,1844.4938,1500.0
247,9280.882,12457.892,12177.816,34443.54,6981.1294,6991.9297,-1516.6654,2410.9512,6747.649,7081.157,4454.362,4300.0
