,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
176,0.0,0.0,19055.404,0.0,8095.53,2948.7563,0.0,0.0,14684.477,20001.82,0.0,6900.0
177,0.0,0.0,33866.1,0.0,17039.672,9225.724,0.0,0.0,23268.766,25732.16,0.0,6600.0
178,0.0,0.0,46748.58,0.0,24040.094,14955.491,0.0,0.0,29153.666,28878.904,0.0,17000.0
179,0.0,0.0,55871.848,0.0,28335.453,19386.652,0.0,213.41959,31820.752,29135.59,0.0,16300.0
180,0.0,0.0,60304.77,0.0,29688.262,22024.863,0.0,184.9167,31171.07,26589.648,0.0,32100.0
181,0.0,0.0,59779.02,0.0,28235.643,22654.45,0.0,0.0,27431.896,21612.797,0.0,22500.000000000004
182,0.0,0.0,54443.34,0.0,24349.043,21317.402,0.0,0.0,21070.39,14766.151,0.0,14000.0
183,0.0,0.0,44660.117,0.0,18545.291,18266.805,0.0,0.0,12725.5205,6742.998,0.0,9100.0
184,0.0,0.0,30865.367,0.0,11445.748,13909.7705,0.0,0.0,3174.1367,0.0,0.0,5000.0
185,0.0,0.0,13521.785,0.0,3764.7148,8751.848,0.0,0.0,0.0,0.0,0.0,4500.0
186,0.0,0.0,0.0,0.0,0.0,3348.304,0.0,0.0,0.0,0.0,0.0,400.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,3531.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,4732.8706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,612.22534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0000000000005
199,0.0,0.0,4167.4565,0.0,0.0,0.0,0.0,1473.4054,1926.6611,4844.1636,0.0,5100.0
200,0.0,0.0,19637.578,0.0,1309.7361,10659.191,0.0,19342.55,14912.008,17402.459,0.0,11700.0
201,0.0,0.0,35794.65,0.0,13178.268,27876.205,0.0,34390.844,26106.207,27674.44,0.0,21900.000000000004
202,0.0,0.0,49729.176,0.0,22338.281,42749.844,0.0,44949.54,34278.848,34536.723,0.0,14799.999999999998
203,0.0,0.0,59642.918,0.0,27971.656,53827.348,0.0,50492.348,38857.08,37569.957,0.0,12900.0
204,0.0,0.0,64727.348,0.0,29980.207,60306.016,0.0,51170.086,39757.18,36886.22,0.0,24100.0
205,0.0,0.0,64848.715,0.0,28695.36,61942.87,0.0,47513.4,37253.07,32962.62,0.0,18200.0
206,0.0,0.0,60284.066,0.0,24666.783,58986.01,0.0,40231.82,31867.396,26508.75,0.0,13200.0
207,0.0,0.0,51508.703,0.0,18552.062,52060.25,0.0,30087.004,24284.65,18391.27,0.0,15500.000000000002
208,0.0,0.0,39048.77,0.0,11075.062,42025.64,0.0,17885.975,15305.983,9608.776,0.0,10600.0
209,0.0,0.0,23427.447,0.0,3018.328,29885.045,0.0,4614.826,5847.937,1275.4279,0.0,4700.0
210,0.0,0.0,5224.2217,0.0,0.0,16777.186,0.0,0.0,0.0,0.0,0.0,2100.0
211,0.0,0.0,0.0,0.0,0.0,4018.4438,0.0,0.0,0.0,0.0,0.0,700.0000000000001
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.3396,0.0,0.0
216,0.0,0.0,2071.2485,0.0,0.0,3721.698,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,5060.558,0.0,0.0,4558.485,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,3368.3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.84064,0.0,7700.000000000001
223,0.0,0.0,4313.5522,0.0,0.0,973.4663,0.0,7040.6606,5102.08,13885.599,0.0,18600.0
224,0.0,0.0,14835.817,0.0,2349.6646,16166.553,0.0,18692.766,19310.406,26549.998,0.0,14500.0
225,0.0,0.0,26671.168,0.0,12976.506,32072.457,0.0,28415.34,31653.586,36847.305,0.0,22800.0
226,0.0,0.0,37653.945,0.0,21116.316,46303.76,0.0,35081.277,40684.742,43543.016,0.0,34500.0
