년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.05.15,1,발전량,4.966,0.207,4.966,0,4.966,4.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.966,0,0,0,0,0,0,0,0,0
2018.05.16,1,발전량,2.517,0.105,2.517,0,2.517,2.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.517,0,0,0,0,0,0,0,0,0
2018.05.17,1,발전량,5.189,0.216,5.189,0,5.189,5.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.189,0,0,0,0,0,0,0,0,0
2018.05.18,1,발전량,1.28,0.053,1.28,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0
2018.05.19,1,발전량,3.818,0.159,3.818,0,3.818,3.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.818,0,0,0,0,0,0,0,0,0
2018.05.20,1,발전량,4.677,0.195,4.677,0,4.677,4.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.677,0,0,0,0,0,0,0,0,0
2018.05.21,1,발전량,2.451,0.102,2.451,0,2.451,2.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.451,0,0,0,0,0,0,0,0,0
2018.05.22,1,발전량,4.107,0.171,4.107,0,4.107,4.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.107,0,0,0,0,0,0,0,0,0
2018.05.23,1,발전량,6.042,0.252,6.042,0,6.042,6.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.042,0,0,0,0,0,0,0,0,0
2018.05.24,1,발전량,5.812,0.242,5.812,0,5.812,5.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.812,0,0,0,0,0,0,0,0,0
2018.05.25,1,발전량,5.326,0.222,5.326,0,5.326,5.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.326,0,0,0,0,0,0,0,0,0
2018.05.26,1,발전량,5.743,0.239,5.743,0,5.743,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.743,0,0,0,0,0,0,0,0,0
2018.05.27,1,발전량,3.152,0.131,3.152,0,3.152,3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.152,0,0,0,0,0,0,0,0,0
2018.05.28,1,발전량,4.911,0.205,4.911,0,4.911,4.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.911,0,0,0,0,0,0,0,0,0
2018.05.29,1,발전량,4.745,0.198,4.745,0,4.745,4.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745,0,0,0,0,0,0,0,0,0
2018.05.30,1,발전량,3.657,0.152,3.657,0,3.657,3.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.657,0,0,0,0,0,0,0,0,0
2018.05.31,1,발전량,5.314,0.221,5.314,0,5.314,5.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.314,0,0,0,0,0,0,0,0,0
2018.06.01,1,발전량,5.642,0.235,5.642,0,5.642,5.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.642,0,0,0,0,0,0,0,0,0
2018.06.02,1,발전량,5.599,0.233,5.599,0,5.599,5.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.599,0,0,0,0,0,0,0,0,0
2018.06.03,1,발전량,4.793,0.2,4.793,0,4.793,4.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.793,0,0,0,0,0,0,0,0,0
2018.06.04,1,발전량,4.684,0.195,4.684,0,4.684,4.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684,0,0,0,0,0,0,0,0,0
2018.06.05,1,발전량,2.574,0.107,2.574,0,2.574,2.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.574,0,0,0,0,0,0,0,0,0
2018.06.06,1,발전량,5.214,0.217,5.214,0,5.214,5.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.214,0,0,0,0,0,0,0,0,0
2018.06.07,1,발전량,5.487,0.229,5.487,0,5.487,5.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.487,0,0,0,0,0,0,0,0,0
2018.06.08,1,발전량,5.109,0.213,5.109,0,5.109,5.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.109,0,0,0,0,0,0,0,0,0
2018.06.09,1,발전량,4.243,0.177,4.243,0,4.243,4.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.243,0,0,0,0,0,0,0,0,0
